Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Debt,Equity capital,Preference capital,Reserves,Secured loan,Unsecured loan,Balance sheet total,Gross block,Revaluation reserve,Accumulated depreciation,Net block,Capital work in progress,Investments,Current assets,Current liabilities,Book value of unquoted investments,Market value of quoted investments,Contingent liabilities,Total Assets,Working capital,Lease liabilities,Inventory,Trade receivables,Face value,Cash Equivalents,Advance from Customers,Trade Payables,Number of equity shares preceding year,Debt preceding year,Working capital preceding year,Net block preceding year,Gross block preceding year,Capital work in progress preceding year,Working capital 3Years back,Working capital 5Years back,Working capital 7Years back,Working capital 10Years back,Debt 3Years back,Debt 5Years back,Debt 7Years back,Debt 10Years back,Net block 3Years back,Net block 5Years back,Net block 7Years back,Market Capitalization,Debt to equity
Dhariwalcorp,,DHARIWAL,INE0YRN01025,Chemicals & Petrochemicals,Trading - Chemicals,42.90,14.55,8.95,0.00,30.48,11.42,0.00,65.21,6.99,0.00,0.53,6.96,3.48,0.54,54.22,20.87,3.71,0.00,0.00,65.21,33.35,0.00,33.73,15.37,2.00,0.19,0.79,9.53,6.60,8.79,6.31,1.64,1.92,3.14,0.94,,,,5.71,,,,1.61,,,403.32,0.37
Dharmaj Crop,543687,DHARMAJ,INE00OQ01016,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,235.86,138.88,33.80,0.00,410.55,115.46,0.10,955.91,352.56,0.00,42.04,321.41,2.38,0.05,629.53,445.13,0.00,0.00,2.02,955.91,184.40,0.00,165.40,450.75,10.00,6.69,2.88,324.58,3.38,111.89,118.61,312.43,336.75,2.06,47.14,11.07,,,36.93,20.18,,,40.06,21.81,,797.14,0.31
Dhunseri Invest.,533336,DHUNINV,INE320L01011,Finance,Non Banking Financial Company (NBFC),753.00,534.71,6.10,0.00,2704.75,368.85,18.89,4603.13,719.87,0.00,93.96,608.10,128.33,3318.95,285.55,54.83,3.26,0.00,0.58,4603.13,230.72,1.19,30.77,9.07,10.00,159.11,4.79,39.62,0.61,377.00,333.63,639.17,724.49,54.95,201.45,14.85,162.39,,115.18,92.08,811.69,,76.95,54.83,603.68,459.12,0.20
Dhunseri Vent.,523736,DVL,INE477B01010,Diversified,Diversified,203.90,534.69,35.03,0.00,3194.91,368.85,18.85,4360.14,714.47,0.00,93.75,591.93,128.33,3093.31,1094.15,138.80,0.00,728.85,0.00,4360.14,955.35,1.17,30.77,9.07,10.00,157.90,4.79,39.62,3.50,376.92,311.98,627.65,712.71,54.84,121.45,50.07,96.97,-155.77,115.13,92.08,116.54,2283.70,74.42,53.94,28.84,714.05,0.17
Diamines & Chem.,500120,DIAMINESQ,INE591D01014,Chemicals & Petrochemicals,Specialty Chemicals,215.15,9.81,9.78,0.00,144.43,0.03,0.00,177.50,85.64,0.00,21.85,64.98,13.14,12.29,80.70,19.79,0.00,14.96,3.41,177.50,60.91,0.00,33.35,6.76,10.00,34.84,0.48,7.14,0.98,0.00,64.78,65.38,84.00,0.83,47.64,,,3.92,0.00,,,20.10,37.55,,,210.51,0.06
DIC India,500089,DICIND,INE303A01010,Chemicals & Petrochemicals,Printing Inks,495.00,4.09,9.18,0.00,419.47,0.00,4.09,630.36,260.15,0.00,121.97,138.18,1.49,0.12,472.15,195.09,0.00,0.00,15.69,630.36,277.06,4.08,125.61,263.44,10.00,64.65,0.30,144.97,0.92,3.43,257.85,141.48,248.11,3.67,262.02,269.12,188.56,207.65,24.05,5.75,50.71,2.48,87.62,79.21,57.28,454.35,0.01
Diffusion Eng,544264,DIFFNKG,INE184O01015,Industrial Products,Other Industrial Products,250.90,22.07,37.43,0.00,348.22,23.21,0.00,465.79,122.32,0.00,24.44,99.40,9.28,44.08,305.15,73.39,0.00,27.75,0.45,465.79,231.76,0.00,67.42,90.12,10.00,115.49,6.56,26.89,2.80,34.44,69.76,91.00,110.50,1.11,42.62,30.58,,,24.60,32.21,,,60.28,61.54,,939.02,0.06
Digitide Solutio,544413,DIGITIDE,INE0U4701011,IT - Services,IT Enabled Services,69.92,294.25,148.95,0.00,742.92,,,1580.08,,,,465.50,9.15,389.59,617.12,447.11,,,,1580.08,170.01,293.04,0.00,308.13,10.00,9.35,,31.14,,,,,,,,,,,,,,,,,,1041.89,0.33
Dishman Carbogen,540701,DCAL,INE385W01011,Pharmaceuticals & Biotechnology,Pharmaceuticals,150.90,2558.80,31.36,0.00,6333.60,2072.22,316.73,11109.14,10551.27,0.00,3496.41,7953.50,308.68,90.88,2442.58,2217.51,9.39,0.02,423.42,11109.14,225.07,314.53,1027.67,655.25,2.00,615.71,381.82,195.80,15.68,2312.60,-649.82,6724.40,10314.25,645.74,126.40,103.41,274.08,,1829.89,1357.44,1094.83,,5772.70,5677.92,5065.87,2365.90,0.40
Divgi Torq,543812,DIVGIITTS,INE753U01022,Auto Components,Auto Components & Equipments,669.90,0.83,15.29,0.00,592.80,0.23,0.84,689.02,391.77,0.00,136.31,251.85,14.53,0.05,416.81,73.40,0.00,0.00,6.03,689.02,343.41,0.64,47.02,73.05,5.00,286.34,0.11,53.11,3.06,1.57,327.67,227.09,338.56,25.71,206.72,118.52,72.57,,0.48,51.15,48.57,,111.77,89.39,71.79,2048.76,0.00
Divine Hira Jew.,,DIVINEHIRA,INE0NA501011,Consumer Durables,"Gems, Jewellery And Watches",258.00,19.98,13.05,0.00,33.50,0.20,19.08,79.80,0.61,0.00,0.10,0.53,0.00,0.00,79.27,33.07,0.00,0.00,0.00,79.80,46.20,0.00,18.21,53.23,10.00,2.53,0.00,7.28,,18.60,9.52,0.29,0.34,0.00,,,,,,,,,,,,336.61,0.43
DJ Mediaprint,543193,DJML,INE0B1K01014,Transport Services,Logistics Solution Provider,79.28,16.20,3.44,0.00,38.51,10.56,7.47,93.85,34.15,0.00,15.15,17.41,0.00,7.90,65.70,15.51,0.00,0.00,0.00,93.85,50.19,1.27,27.56,29.34,10.00,1.01,0.21,2.43,3.25,17.80,18.20,21.70,31.10,0.00,21.53,2.43,1.69,0.20,7.30,5.10,3.89,0.53,7.66,2.99,2.11,272.56,0.23
DLF,532868,DLF,INE271C01023,Realty,"Residential, Commercial Projects",523.70,1777.42,495.06,0.00,42507.04,3809.06,293.67,68940.14,4892.24,0.00,1389.95,3476.80,98.38,21943.94,36571.04,22228.52,0.00,0.00,9932.60,68940.14,14342.52,245.48,24566.83,770.06,2.00,2182.30,0.00,1871.35,247.53,4833.86,17500.98,3880.02,5230.08,70.70,13443.96,12624.80,11369.33,17120.38,4181.84,8102.51,17490.80,24494.94,4862.39,5186.87,8082.28,129632.08,0.04
DMCC Speciality,506405,DMCC,INE505A01010,Chemicals & Petrochemicals,Specialty Chemicals,214.15,39.56,24.94,0.00,208.91,61.57,10.20,374.30,320.76,0.00,86.82,225.69,0.34,1.43,139.00,107.11,0.00,0.00,18.51,374.30,31.89,0.05,40.41,73.19,10.00,2.28,0.00,54.19,2.49,87.71,8.00,238.12,309.78,5.89,-1.67,49.84,1.34,3.84,93.40,24.92,24.74,34.58,173.82,101.47,87.46,534.08,0.17
Dodla Dairy,543306,DODLA,INE021O01019,Food Products,Dairy Products,988.65,55.34,60.33,0.00,1470.81,28.75,13.68,1933.93,1149.78,0.00,399.35,1040.56,29.18,407.75,760.85,298.37,0.00,0.00,0.92,1933.93,462.48,23.87,154.91,15.69,10.00,188.55,0.00,168.63,5.95,45.79,263.01,713.46,1052.24,12.36,85.34,-5.12,-43.96,,12.87,159.77,132.46,,565.88,536.30,326.85,5964.32,0.04
Dolat Algotech,505526,DOLATALGO,INE966A01022,Capital Markets,Stockbroking & Allied,69.50,195.82,17.60,0.00,1028.89,0.04,65.77,1327.31,9.76,0.00,4.83,4.64,0.00,118.48,569.73,274.18,0.00,0.00,1514.89,1327.31,295.55,0.00,0.00,0.00,1.00,1.50,0.00,0.00,17.60,84.10,382.30,3.73,6.26,0.00,324.24,-18.70,,,174.86,9.75,,,1.28,0.37,,1223.19,0.19
Dollar Industrie,541403,DOLLAR,INE325C01035,Textiles & Apparels,Garments & Apparels,248.35,310.47,11.34,0.00,892.01,296.83,13.99,1485.28,428.44,0.00,154.82,264.66,7.90,22.40,1170.59,534.75,0.00,0.00,3.96,1485.28,635.84,15.74,556.64,524.33,2.00,0.26,0.00,204.84,5.67,300.66,543.56,230.06,350.60,16.85,513.14,365.96,324.52,93.25,205.67,209.99,184.11,180.56,90.59,74.32,68.41,1408.56,0.34
Dr Lal Pathlabs,539524,LALPATHLAB,INE600L01024,Healthcare Services,Healthcare Service Provider,1282.05,156.00,167.60,0.00,2304.00,0.00,157.43,2959.20,1937.51,0.00,769.16,1232.50,16.60,485.50,1519.60,433.20,0.00,0.00,10.59,2959.20,1086.40,156.00,50.20,101.10,10.00,816.20,9.01,191.30,16.70,246.93,547.73,1227.53,1862.41,5.65,309.70,501.06,362.26,132.00,532.57,0.00,0.00,26.63,1375.28,413.02,207.52,21481.40,0.07
Dr Reddy's Labs,500124,DRREDDY,INE089A01031,Pharmaceuticals & Biotechnology,Pharmaceuticals,1266.10,5854.00,83.50,0.00,35930.50,0.00,4676.60,54373.20,36759.60,0.00,18533.20,20617.30,1996.80,4701.30,27955.80,15104.10,6.70,22.30,0.00,54373.20,12851.70,1358.40,7582.20,9775.40,1.00,2046.40,156.20,3532.30,83.41,2002.00,10812.30,10425.60,28062.20,1419.30,5999.20,3016.30,1771.60,2953.20,3384.50,2210.20,5071.40,4314.10,8121.50,6850.30,6968.00,105675.45,0.16
Dreamfolks Servi,543591,DREAMFOLKS,INE0JS101016,Transport Infrastructure,Airport & Airport services,67.35,10.18,10.65,0.00,322.81,0.21,10.42,477.43,26.52,0.00,11.19,14.86,0.00,91.18,455.23,129.23,0.00,89.77,23.23,477.43,326.00,10.03,0.00,273.01,2.00,49.64,0.56,116.88,5.30,6.11,180.83,11.56,25.38,0.30,50.62,48.45,,,8.25,3.09,,,15.73,5.41,,358.77,0.03
Dynamic Cables,540795,DYCL,INE600Y01019,Industrial Products,Cables - Electricals,264.25,77.35,48.46,0.00,361.90,50.10,8.76,607.09,159.92,0.00,76.34,95.28,8.28,47.68,489.69,188.02,0.00,0.00,172.08,607.09,301.67,2.16,154.43,237.09,10.00,35.13,6.97,101.32,4.40,119.26,148.44,62.66,129.46,7.31,117.39,98.58,62.12,27.24,76.73,122.37,130.99,49.11,52.59,56.06,55.73,1280.50,0.19
Dynemic Products,532707,DYNPRO,INE256H01015,Chemicals & Petrochemicals,Specialty Chemicals,213.10,79.12,12.43,0.00,220.82,95.88,0.00,414.34,327.68,0.00,92.63,228.03,0.00,0.98,164.67,160.98,0.00,0.00,2.73,414.34,3.69,0.00,84.49,68.27,10.00,2.46,1.73,77.72,1.20,114.53,-19.56,244.63,321.12,0.00,-10.05,98.27,41.00,18.03,173.74,101.17,25.08,35.62,271.91,36.07,35.06,264.86,0.34
E Factor Experie,,EFACTOR,INE0KFF01017,Other Consumer Services,Other Consumer Services,182.85,21.17,13.09,0.00,63.07,15.21,0.00,132.91,14.82,0.00,6.63,7.62,0.00,0.57,120.31,54.76,0.00,0.00,0.00,132.91,65.55,0.00,0.00,93.53,10.00,15.06,0.32,25.77,1.31,3.76,39.88,8.32,12.63,0.00,-6.09,-12.07,,,5.91,8.61,,,5.39,3.88,,240.10,0.28
eClerx Services,532927,ECLERX,INE738I01010,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),1445.95,395.07,46.78,0.00,2577.24,0.00,358.13,3530.16,1749.16,0.00,775.24,1039.59,3.63,439.19,2341.34,489.27,0.00,0.00,28.66,3530.16,1852.07,395.07,0.25,550.93,10.00,818.36,2.76,78.57,9.81,265.74,1180.36,842.95,1488.89,0.77,774.13,507.89,709.67,342.81,163.12,156.60,6.34,0.00,712.56,479.74,343.43,13599.28,0.15
Eco Recyc.,530643,,INE316A01038,Other Utilities,Waste Management,286.00,6.80,19.30,0.00,81.93,0.00,4.50,127.99,65.74,1.85,6.90,58.34,0.00,12.80,61.80,17.93,0.00,3.68,0.00,127.99,43.87,4.24,10.66,12.82,10.00,12.07,0.25,2.05,1.93,4.93,12.92,39.36,45.25,0.00,13.00,5.07,12.84,10.42,11.27,17.13,22.88,17.28,20.45,21.92,22.23,551.86,0.07
Ecoline Exim,,ECOLINE,INE0VBS01016,Industrial Products,Packaging,122.95,46.23,16.18,0.00,136.30,39.89,0.00,223.30,33.56,0.00,19.91,12.91,0.67,14.73,178.90,65.67,0.00,10.96,1.56,223.30,113.23,0.00,51.80,41.16,10.00,61.05,0.97,12.77,,,,,,,19.11,,,,40.82,,,,15.90,,,252.24,0.29
Ecos (India),544239,ECOSMOBLTY,INE06HJ01020,Transport Services,Road Transport,108.15,7.62,12.00,0.00,218.23,6.01,8.39,361.99,108.26,0.00,50.61,62.84,0.00,69.13,291.40,120.33,0.00,82.96,2.11,361.99,171.07,6.37,0.00,92.92,2.00,28.20,0.34,87.09,6.00,29.77,49.91,45.77,77.69,0.80,24.33,44.67,,6.37,4.05,32.96,,8.73,13.61,36.43,,648.90,0.03
Effwa Infra,,EFFWA,INE0U9101019,Other Utilities,Waste Management,204.75,14.31,23.15,0.00,81.88,0.17,29.54,140.40,2.31,0.00,1.72,2.15,0.00,0.00,138.20,34.66,0.00,0.00,0.00,140.40,103.54,0.00,5.99,95.47,10.00,32.14,0.00,16.74,1.78,14.07,37.69,0.63,2.13,0.00,15.72,,,,10.26,,,,0.34,,,473.94,0.14
EID Parry,500125,EIDPARRY,INE126A01031,Food Products,Other Food Products,770.40,2665.73,17.79,0.00,8627.76,1360.94,1343.12,29958.43,10094.64,0.00,3946.40,7513.76,966.88,3749.62,19903.62,14196.11,1.30,0.00,459.30,29958.43,5707.51,628.12,7085.21,2658.02,1.00,1556.95,210.97,11290.96,17.75,1740.28,5240.90,4895.50,8359.34,520.49,3719.93,1839.83,840.82,350.23,1259.35,4346.98,4469.94,4823.27,3763.43,3857.73,3196.55,13703.30,0.31
EIH,500840,EIHOTEL,INE230A01023,Leisure Services,Hotels & Resorts,301.95,250.08,125.07,0.00,4580.74,0.00,265.06,5896.54,3831.03,0.00,688.06,3178.23,402.83,542.44,1576.27,525.68,0.00,770.57,50.52,5896.54,1050.59,250.08,64.16,218.27,2.00,938.54,70.53,241.26,62.54,199.30,425.16,2885.17,3475.64,169.69,-7.41,-11.96,-44.58,-24.50,475.07,647.47,501.91,418.11,2853.73,3006.95,2547.68,18882.86,0.05
EIH Assoc.Hotels,523127,EIHAHOTELS,INE276C01014,Leisure Services,Hotels & Resorts,297.50,4.12,60.94,0.00,462.73,0.00,4.27,640.68,409.09,0.00,119.95,281.55,37.78,176.17,280.83,72.63,0.00,0.00,11.02,640.68,208.20,4.12,13.95,9.94,10.00,65.23,12.14,28.28,6.09,4.04,24.35,302.24,428.26,7.77,-7.29,25.05,11.46,7.01,1.97,2.75,1.59,62.80,278.37,282.60,243.37,1812.85,0.01
Eimco Elecon(I),523708,EIMCOELECO,INE158B01016,Industrial Manufacturing,Industrial Products,1535.40,1.69,5.77,0.00,443.12,0.00,0.13,499.60,141.64,0.00,71.82,70.84,3.34,235.92,208.13,41.11,0.00,40.88,5.72,499.60,167.02,1.69,132.31,38.14,10.00,0.90,20.52,22.65,0.58,0.41,136.89,73.40,143.53,0.08,102.12,79.49,76.74,96.71,0.40,2.52,0.62,0.00,80.63,78.34,76.58,885.93,0.00
EKI Energy,543284,,INE0CPR01018,Commercial Services & Supplies,Consulting Services,75.40,0.80,27.63,0.00,357.16,1.19,0.05,580.32,126.72,0.00,20.50,107.88,0.00,89.82,405.44,39.70,9.93,0.00,90.99,580.32,365.74,0.00,68.75,25.39,10.00,116.87,6.42,26.80,2.75,4.61,314.03,35.10,45.37,95.42,356.27,,,,2.08,,,,27.00,,,208.76,0.00
Eldeco Housing,523329,ELDEHSG,INE668G01021,Realty,"Residential, Commercial Projects",774.50,105.12,1.97,0.00,387.95,98.72,17.05,940.67,26.24,0.00,8.95,17.03,0.00,0.29,844.96,453.24,0.00,0.26,3.14,940.67,391.72,0.75,592.00,1.39,2.00,155.77,296.48,37.71,0.98,83.94,369.52,18.06,26.16,0.00,243.94,191.67,134.05,77.61,2.99,3.72,2.20,5.67,18.14,18.41,13.01,761.57,0.27
Elecon Engg.Co,505700,ELECON,INE205B01031,Electrical Equipment,Heavy Electrical Equipment,376.55,257.84,22.44,0.00,2221.65,3.31,177.92,2996.38,1374.25,0.00,460.33,1003.77,25.95,683.96,1743.09,488.61,0.00,0.00,107.30,2996.38,1254.48,257.84,272.19,511.07,1.00,311.26,82.15,210.45,22.44,70.46,616.34,768.55,1182.17,0.91,347.01,220.63,87.07,270.64,151.19,483.45,590.48,551.70,739.18,798.95,833.76,8449.80,0.11
Electrost.Cast.,500128,ELECTCAST,INE086A01029,Industrial Products,Iron & Steel Products,71.66,2222.55,61.82,0.00,5832.04,1192.48,932.98,9911.38,4089.61,0.00,987.94,3216.28,1186.26,210.00,5150.47,3178.78,0.00,0.01,110.76,9911.38,1971.69,48.69,2730.56,1283.78,1.00,609.96,0.00,601.47,61.82,2334.78,1532.33,2928.26,3766.84,1228.56,1000.85,278.64,258.98,177.76,2966.97,1736.03,1697.25,2572.08,2763.22,1703.00,1677.67,4429.93,0.38
Elgi Equipments,522074,ELGIEQUIP,INE285A01027,Industrial Products,"Compressors, Pumps & Diesel Engines",460.65,527.60,31.70,0.00,1976.30,352.50,224.70,3176.90,1126.40,0.00,534.90,636.50,76.80,95.30,2249.40,1062.60,0.00,22.90,3.80,3176.90,1186.80,102.40,643.80,607.00,1.00,811.60,0.00,373.30,31.69,638.10,1015.20,586.70,1055.50,9.50,527.48,266.57,279.82,177.41,435.82,448.10,266.17,366.75,553.24,600.17,440.24,14598.43,0.26
Elin Electronics,543725,ELIN,INE050401020,Consumer Durables,Household Appliances,112.00,15.37,24.35,0.00,530.14,23.52,0.53,815.02,429.13,0.00,183.08,248.47,11.40,101.56,546.53,245.54,0.00,67.20,14.97,815.02,300.99,0.53,149.49,265.98,5.00,8.88,3.89,183.73,4.97,12.00,207.19,223.60,385.10,11.94,135.69,74.83,51.47,,102.53,69.97,61.55,,188.04,133.90,84.46,556.19,0.03
Ellen.Indl.Gas,544421,ELLEN,INE236E01022,Chemicals & Petrochemicals,Industrial Gases,193.95,118.60,28.19,0.00,893.67,235.30,11.32,1146.04,489.47,23.20,150.54,341.77,65.06,311.04,297.86,114.35,0.00,22.74,153.19,1146.04,183.51,4.48,13.23,77.29,2.00,125.13,2.82,10.19,0.65,178.43,-43.26,330.83,461.17,0.42,105.70,22.13,47.10,50.91,10.71,136.02,218.99,202.85,220.94,228.50,163.49,2733.43,0.13
Emami,531162,EMAMILTD,INE548C01032,Personal Products,Personal Care,398.45,71.96,43.65,0.00,2887.18,61.78,28.01,3671.05,3761.44,0.00,2777.06,917.21,18.42,857.55,1858.45,678.52,19.39,66.60,5.82,3671.05,1179.93,30.16,407.73,372.22,1.00,228.35,12.66,421.90,43.65,93.95,498.35,1113.63,3729.88,7.55,117.51,172.96,-141.23,262.31,281.55,210.24,325.92,35.89,1343.92,1459.17,1802.06,17392.34,0.02
Embassy Develop,532832,EMBDL,INE069I01010,Realty,"Residential, Commercial Projects",46.40,4713.70,278.01,0.00,9984.35,2906.26,1687.91,20857.22,6184.70,0.00,95.22,5929.35,0.00,298.21,13788.59,5638.61,0.00,0.00,220.82,20857.22,8149.98,77.76,12063.23,53.04,2.00,1002.31,2692.36,717.61,54.17,7748.57,-1556.23,3737.02,3769.42,0.00,3241.98,3815.77,1103.38,5679.77,1328.91,2737.10,7647.97,6543.80,96.46,135.26,951.88,6452.55,0.46
Emcure Pharma,544210,EMCURE,INE168P01015,Pharmaceuticals & Biotechnology,Pharmaceuticals,1455.40,1659.22,189.57,0.00,4553.01,726.20,296.55,9392.54,5484.83,0.00,2288.10,3307.86,143.63,41.91,5605.54,3686.05,0.00,76.04,393.94,9392.54,1919.49,315.15,2304.58,2299.86,10.00,489.55,0.00,1725.44,18.12,2334.98,749.79,3124.55,5052.13,159.11,459.27,-216.76,,,2217.21,2326.74,,,2044.31,2381.91,,27592.86,0.35
Emergent Indust.,506180,,INE668L01013,Metals & Minerals Trading,Trading - Metals,446.25,0.00,4.57,0.00,23.44,0.00,0.00,35.40,1.05,0.00,0.52,0.43,0.00,20.33,32.70,7.16,0.00,0.00,0.00,35.40,25.54,0.00,0.00,0.00,10.00,5.78,15.22,0.00,0.46,0.00,23.74,0.14,0.56,0.00,20.46,15.08,13.58,1.09,0.00,0.00,0.00,0.00,0.21,0.09,0.03,203.93,0.00
Emk.Global Fin.,532737,EMKAY,INE296H01011,Capital Markets,Stockbroking & Allied,215.67,80.77,25.91,0.00,275.93,0.00,68.23,1541.58,78.68,0.00,37.31,42.58,0.00,39.84,1397.60,1091.62,23.87,0.00,270.10,1541.58,305.98,9.65,0.00,143.08,10.00,732.76,45.10,386.29,2.47,52.03,184.57,42.79,72.56,0.00,135.07,83.64,77.20,58.18,44.12,9.77,34.01,35.35,32.09,38.14,32.67,564.82,0.27
Emkay Tools,,ETL,INE0PXC01024,Industrial Manufacturing,Industrial Products,950.00,0.00,1.07,0.00,104.18,0.77,0.00,128.48,46.06,0.00,31.72,17.20,1.14,43.21,66.35,22.50,0.04,0.00,0.00,128.48,43.85,0.00,23.37,29.84,1.00,3.51,0.00,5.61,,,,,,,,,,,,,,,,,,1013.77,0.00
Emmforce Auto.,544166,,INE0SDC01012,Auto Components,Auto Components & Equipments,129.10,39.84,20.50,0.00,65.66,34.94,0.00,143.24,43.89,0.00,5.26,55.44,21.48,0.00,65.96,33.61,0.00,0.00,0.00,143.24,32.35,0.00,16.10,30.58,10.00,0.50,0.89,11.54,1.50,42.33,15.61,27.56,28.56,2.84,,,,,,,,,,,,264.66,0.46
Emrock Corporation,531676,,INE554H01021,Food Products,Packaged Foods,253.75,0.40,15.82,0.00,8.93,0.00,0.86,14.89,0.01,0.00,0.00,0.01,0.00,0.00,6.79,0.75,0.00,0.00,1.06,14.89,6.04,0.00,4.50,1.22,10.00,0.08,0.00,0.16,,0.00,4.64,0.00,0.00,0.00,4.57,4.36,6.63,6.17,0.00,0.05,0.00,1.65,0.00,0.00,0.00,401.43,0.03
EMS,543983,EMSLIMITED,INE0OV601013,Other Utilities,Waste Management,282.00,164.83,55.53,0.00,985.52,57.89,28.10,1316.92,129.27,0.00,33.60,126.06,37.37,10.39,806.92,101.41,0.00,0.00,195.88,1316.92,705.51,0.08,102.46,398.78,10.00,137.59,0.10,27.78,5.55,70.65,502.74,93.55,118.06,0.00,306.21,164.22,,,3.78,15.72,,,50.54,31.13,,1565.96,0.16
eMudhra,543533,EMUDHRA,INE01QM01018,IT - Services,IT Enabled Services,381.85,16.48,40.93,0.00,772.07,0.00,0.00,1078.96,526.93,0.00,107.87,654.38,19.61,48.25,399.51,153.68,0.00,0.00,21.06,1078.96,245.83,0.00,4.34,172.38,5.00,55.55,0.00,46.13,8.28,7.64,359.76,252.66,348.98,50.60,20.77,18.49,,,67.13,41.78,,,117.47,62.48,,3162.16,0.02
Encompass Design,,ENCOMPAS,INE433T01015,Commercial Services & Supplies,Trading & Distributors,253.95,15.78,0.39,0.00,27.20,0.12,14.14,63.24,32.81,0.00,14.28,22.75,0.00,0.00,39.38,19.65,0.00,0.00,0.00,63.24,19.73,0.00,15.93,9.89,10.00,10.11,0.02,3.34,0.03,8.07,6.06,10.91,22.91,0.00,,,,,,,,,,,,360.19,0.42
Engineers India,532178,ENGINERSIN,INE510A01028,Construction,Civil Construction,184.35,19.78,281.02,0.00,2424.25,0.00,22.14,5456.74,511.50,0.00,216.72,285.32,66.93,1506.45,3183.12,2722.36,0.00,5.79,1561.19,5456.74,460.76,19.78,0.64,499.99,5.00,1249.87,74.71,586.19,56.20,33.02,101.43,297.58,494.16,35.93,-47.62,1320.90,1464.00,1941.14,3.72,4.92,0.00,0.50,262.69,273.87,257.30,10361.28,0.01
Ent.Network,532700,ENIL,INE265F01028,Entertainment,Media & Entertainment,105.55,176.05,47.67,0.00,709.53,0.00,176.77,1184.43,1098.86,0.00,659.22,408.55,4.91,332.84,541.81,267.50,27.84,347.78,0.00,1184.43,274.31,176.05,0.00,183.37,10.00,29.83,0.00,161.02,4.77,192.66,-13.21,497.29,1101.73,1.17,36.58,24.21,-25.62,42.91,235.35,0.00,103.96,0.00,640.74,846.66,674.30,503.16,0.23
Entero Healthcar,544122,ENTERO,INE010601016,Retailing,Pharmacy Retail,1100.80,442.59,43.51,0.00,1722.80,282.71,102.52,2851.34,686.47,0.00,127.19,626.80,0.00,66.51,2127.30,946.86,0.00,57.56,4.01,2851.34,1180.44,109.21,700.13,998.63,10.00,96.09,0.00,458.76,4.35,337.98,1409.04,289.34,383.27,0.00,389.10,282.62,,,973.62,602.80,,,261.97,186.25,,4789.68,0.25
Enviro Infra,544290,EIEL,INE0LLY01014,Other Utilities,Water Supply & Management,142.20,294.56,175.53,0.00,962.89,173.53,60.58,1574.83,91.96,0.00,21.78,213.39,2.32,52.48,1120.81,291.48,9.45,0.00,248.08,1574.83,829.33,0.00,16.86,126.51,10.00,372.60,11.14,40.09,13.69,234.36,196.07,46.91,59.33,1.38,45.92,15.71,,,17.36,25.73,,,10.20,7.83,,2496.07,0.26
EPack PrefabTech,544540,EPACKPEB,INE0MLS01022,Industrial Manufacturing,Industrial Products,142.35,221.68,20.09,1.41,669.97,210.23,4.59,1406.95,349.37,0.00,98.09,317.29,1.29,2.16,1081.12,593.00,0.00,0.00,391.47,1406.95,488.12,4.92,184.07,264.70,2.00,504.18,0.00,327.82,0.39,149.77,39.99,238.14,318.93,0.00,15.10,16.32,,,76.42,33.80,,,146.68,72.56,,1429.92,0.32
Epigral,543332,EPIGRAL,INE071N01016,Chemicals & Petrochemicals,Specialty Chemicals,842.75,537.15,43.14,0.00,2056.98,584.58,7.95,3235.46,2953.09,0.00,715.07,2175.72,308.91,44.14,662.08,503.59,0.00,76.60,67.32,3235.46,158.49,5.54,344.18,226.67,10.00,15.65,6.45,165.40,4.16,964.04,-277.65,1766.64,2405.81,482.84,-85.40,-127.79,36.31,,993.12,737.13,74.28,,1067.83,440.17,347.21,3635.75,0.26
EPL Ltd,500135,EPL,INE255A01020,Industrial Products,Packaging,185.00,849.80,64.10,0.00,2559.70,524.00,278.50,4459.60,4348.80,0.00,2378.70,2153.20,85.80,22.90,2004.20,1328.60,0.00,0.00,77.20,4459.60,675.60,167.20,840.20,822.90,2.00,219.50,0.00,683.80,31.84,912.30,562.40,1911.90,3963.80,72.00,635.90,548.00,468.28,375.75,768.80,736.70,734.04,961.86,1473.40,1363.90,1184.16,5924.60,0.32
Essen Speciality,,ESFL,INE0ITO01014,Consumer Durables,Plastic Products - Consumer,122.65,26.32,24.84,0.00,132.78,17.46,0.00,232.04,86.70,0.00,42.34,43.37,4.16,2.20,180.94,73.01,0.03,1.39,0.02,232.04,107.93,0.00,99.08,35.74,10.00,17.78,0.40,27.59,2.48,0.00,100.13,41.37,78.00,0.46,34.72,23.44,,,25.83,4.43,,,44.39,40.90,,304.66,0.17
Eternal,543320,ETERNAL,INE758T01015,Retailing,E-Retail/ E-Commerce,229.60,3351.00,911.00,0.00,29912.00,0.00,2045.00,38115.00,10993.00,0.00,1461.00,11083.00,116.00,14758.00,13381.00,4210.00,0.00,1910.00,415.00,38115.00,9171.00,3351.00,1502.00,1470.00,1.00,807.00,21.00,2163.00,881.98,749.00,2095.00,6448.00,7473.00,18.00,5201.80,218.61,153.70,,70.30,325.58,186.23,,1404.30,1590.55,189.80,221572.04,0.11
