Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Inventory turnover ratio 3Years back,Inventory turnover ratio 5Years back,Inventory turnover ratio 7Years back,Inventory turnover ratio 10Years back,Exports percentage 3Years back,Average 5years dividend,Exports percentage 5Years back,Average return on capital employed 3Years,Average return on capital employed 5Years,Average return on capital employed 7Years,Average return on capital employed 10Years,Average return on equity 7Years,Return on equity 5years growth,Average return on equity 10Years,OPM 5Year,OPM 10Year,Number of Shareholders 1year back,Average dividend payout 3years,Debtor days 3years back,Average debtor days 3years,Debtor days 5years back,Return on assets 5years,Return on assets 3years,Historical PE 3Years,Historical PE 10Years,Historical PE 5Years,Historical PE 7Years,Market Capitalization 3years back,Market Capitalization 5years back,Market Capitalization 7years back,Market Capitalization 10years back,Average Working Capital Days 3years,Change in FII holding 3Years,Change in DII holding 3Years,Is not SME,Market Capitalization,Debt to equity
Brigade Hotel,544457,BRIGHOTEL,INE03NU01014,Leisure Services,Hotels & Resorts,58.08,,,,,,,,13.72,13.72,13.72,13.72,,,,,,,0.00,,19.76,,,,108.49,108.49,108.49,108.49,,,,,-113.34,,,1,2206.11,0.38
Bright Outdoor,543831,,INE0OMI01019,Media,Advertising & Media Agencies,390.00,0.00,0.00,,,,0.29,,14.24,11.54,11.54,11.54,,19.25,,18.07,,715.00,2.78,263.73,190.16,238.14,5.82,8.43,43.74,43.75,43.75,43.75,,,,,264.05,,,0,851.10,0.00
Butterfly Gan Ap,517421,BUTTERFLY,INE295F01017,Consumer Durables,Household Appliances,682.20,3.35,2.95,2.91,4.10,1.41,2.15,1.16,16.69,17.60,15.08,11.71,9.60,36.98,5.52,7.05,6.26,16927.00,0.00,35.28,37.06,62.96,5.91,6.06,42.07,41.51,44.17,42.03,2483.66,171.20,926.97,341.50,25.15,-0.01,-5.18,1,1219.80,0.03
C D S L,,CDSL,INE736A01011,Capital Markets,"Depositories, Clearing Houses and Other Intermediaries",1161.40,,,,,0.01,181.83,0.01,37.49,36.59,31.97,29.28,27.03,16.50,25.34,60.07,58.28,1173419.00,55.02,30.34,24.21,42.21,23.78,24.12,58.17,42.01,53.93,45.37,15469.76,2240.48,2953.80,,-41.58,-3.43,-3.34,1,24273.26,0.00
C K K Retail,,CKKRETAIL,INE0SMX01019,Agricultural Food & other Products,Sugar,125.40,33.10,,,,,0.00,,75.87,123.92,123.92,123.92,,,,5.69,,,0.00,49.83,26.53,,,27.58,9.07,9.07,9.07,9.07,,,,,25.24,,,0,242.87,0.00
C P C L,500110,CHENNPETRO,INE178A01016,Petroleum Products,Refineries & Marketing,1034.00,6.42,5.49,8.13,6.58,,265.06,,28.04,23.96,13.66,15.29,18.95,15.21,21.65,5.98,4.56,185505.00,25.33,2.14,1.73,1.22,9.71,12.72,5.41,5.40,4.65,4.92,1900.85,901.66,4874.61,1017.81,4.15,7.80,-2.23,1,15397.43,0.22
C.E. Info System,543425,MAPMYINDIA,INE0BV301023,IT - Software,Software Products,885.90,3.08,4.37,,,44.37,15.09,35.02,25.07,23.03,20.80,20.80,18.75,6.98,,39.67,,166270.00,17.36,79.25,93.69,76.45,14.77,16.02,72.12,66.77,66.77,66.77,8043.42,,,,26.05,-1.60,9.54,1,4847.78,0.01
C2C Advanced,,C2C,INE0U7V01015,Aerospace & Defense,Aerospace & Defense,330.00,2.83,,,,23.15,0.00,23.15,33.19,8.69,8.69,8.69,,,,37.25,,,0.00,1898.00,378.62,,,20.34,34.03,34.03,34.03,34.03,,,,,310.60,,,0,559.97,0.22
Campus Activewe.,543523,CAMPUS,INE278Y01022,Consumer Durables,Footwear,218.00,2.20,2.19,3.26,,0.02,6.11,,19.94,21.75,21.90,21.90,19.50,-6.92,,16.59,,211896.00,8.40,40.86,35.72,78.35,9.16,9.52,80.45,86.58,86.58,86.58,,,,,84.48,0.15,5.34,1,6661.92,0.48
Cams Services,543232,CAMS,INE596I01020,Capital Markets,"Depositories, Clearing Houses and Other Intermediaries",624.45,,,,,,253.68,,51.00,53.30,51.20,51.14,41.07,4.37,39.78,44.55,40.84,408950.00,72.13,9.11,18.14,14.48,29.59,28.88,44.20,44.36,44.26,44.36,11324.51,,,,22.72,11.95,8.27,1,15479.37,0.06
Canara HSBC,544583,CANHLIFE,INE01TY01017,Insurance,Life Insurance,140.75,,,,,,26.60,,8.41,6.84,6.84,6.84,,-2.09,,-0.14,,,32.42,0.00,0.60,0.00,0.29,0.31,116.33,116.33,116.33,116.33,,,,,-3.45,,,1,13371.25,0.00
